sample-id	Tray	Snail_Number	Day	Tissue	Cohort
CA-0-1-W	CA	0	1	Water	Control
CA-0-14-W	CA	0	14	Water	Control
CA-0-21-W	CA	0	21	Water	Control
CA-0-28-W	CA	0	28	Water	Control
CA-0-35-W	CA	0	35	Water	Control
CA-0-37-W	CA	0	37	Water	Control
CA-0-39-W	CA	0	39	Water	Control
CA-0-7-W	CA	0	7	Water	Control
CA-1-1-Hm	CA	1	1	Hemolymph	Control
CA-1-1-Hp	CA	1	1	Hepatopancreas	Control
CA-1-14-Hm	CA	1	14	Hemolymph	Control
CA-1-14-Hp	CA	1	14	Hepatopancreas	Control
CA-1-21-Hm	CA	1	21	Hemolymph	Control
CA-1-21-Hp	CA	1	21	Hepatopancreas	Control
CA-1-28-Hm	CA	1	28	Hemolymph	Control
CA-1-28-Hp	CA	1	28	Hepatopancreas	Control
CA-1-35-Hm	CA	1	35	Hemolymph	Control
CA-1-35-Hp	CA	1	35	Hepatopancreas	Control
CA-1-37-Hm	CA	1	37	Hemolymph	Control
CA-1-37-Hp	CA	1	37	Hepatopancreas	Control
CA-1-39-Hm	CA	1	39	Hemolymph	Control
CA-1-39-Hp	CA	1	39	Hepatopancreas	Control
CA-1-7-Hm	CA	1	7	Hemolymph	Control
CA-1-7-Hp	CA	1	7	Hepatopancreas	Control
CA-2-1-Hm	CA	2	1	Hemolymph	Control
CA-2-1-Hp	CA	2	1	Hepatopancreas	Control
CA-2-14-Hm	CA	2	14	Hemolymph	Control
CA-2-14-Hp	CA	2	14	Hepatopancreas	Control
CA-2-21-Hm	CA	2	21	Hemolymph	Control
CA-2-21-Hp	CA	2	21	Hepatopancreas	Control
CA-2-28-Hm	CA	2	28	Hemolymph	Control
CA-2-28-Hp	CA	2	28	Hepatopancreas	Control
CA-2-35-Hm	CA	2	35	Hemolymph	Control
CA-2-35-Hp	CA	2	35	Hepatopancreas	Control
CA-2-37-Hm	CA	2	37	Hemolymph	Control
CA-2-37-Hp	CA	2	37	Hepatopancreas	Control
CA-2-39-Hm	CA	2	39	Hemolymph	Control
CA-2-39-Hp	CA	2	39	Hepatopancreas	Control
CA-2-7-Hm	CA	2	7	Hemolymph	Control
CA-2-7-Hp	CA	2	7	Hepatopancreas	Control
CA-3-1-Hm	CA	3	1	Hemolymph	Control
CA-3-1-Hp	CA	3	1	Hepatopancreas	Control
CA-3-14-Hm	CA	3	14	Hemolymph	Control
CA-3-14-Hp	CA	3	14	Hepatopancreas	Control
CA-3-21-Hm	CA	3	21	Hemolymph	Control
CA-3-21-Hp	CA	3	21	Hepatopancreas	Control
CA-3-28-Hm	CA	3	28	Hemolymph	Control
CA-3-28-Hp	CA	3	28	Hepatopancreas	Control
CA-3-35-Hm	CA	3	35	Hemolymph	Control
CA-3-35-Hp	CA	3	35	Hepatopancreas	Control
CA-3-37-Hm	CA	3	37	Hemolymph	Control
CA-3-37-Hp	CA	3	37	Hepatopancreas	Control
CA-3-39-Hm	CA	3	39	Hemolymph	Control
CA-3-39-Hp	CA	3	39	Hepatopancreas	Control
CA-3-7-Hm	CA	3	7	Hemolymph	Control
CA-3-7-Hp	CA	3	7	Hepatopancreas	Control
